,States/Union Territories,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
,A & N Islands,-,240.0,240.0,240.0,236.0,240.0,240.0,244.0,241.0,240.0,240.0,240.0
,Andhra Pradesh,50416.0,53030.0,60964.0,64139.0,71511.0,78996.0,78970.0,91730.0,99692.0,95662.0,59198 *,50444 *
,Arunachal Pradesh,158.0,208.0,286.0,391.0,426.0,399.0,511.0,600.0,589.0,552.0,677.0,626.0
,Assam,3787.0,4051.0,4297.0,4816.0,5107.0,5122.0,5403.0,6034.0,6495.0,7544.0,8527.0,8762.0
,Bihar,7201.0,7955.0,8425.0,9155.0,10527.0,11587.0,12384.0,14311.0,15409.0,15391.0,19294.0,24050.0
,Chandigarh,1157.0,1260.0,1343.0,1446.0,1414.0,1576.0,1519.0,1568.0,1637.0,1574.0,1616.0,1607.0
,Chhattisgarh,11747.0,13012.0,14063.0,14079.0,14866.0,11009.0,10340.0,15013.0,17302.0,18932.0,21499.0,25639.0
,Dadra and Nagar Haveli,1830.0,2539.0,2923.0,3388.0,3574.0,4007.0,4429.0,4380.0,4572.0,5390.0,5307.0,5897.0
,Daman and Diu,1119.0,1346.0,1602.0,1774.0,1797.0,1934.0,2181.0,2141.0,1991.0,2252.0,2086.0,2337.0
,Delhi,21157.0,21602.0,22397.0,22439.0,22398.0,24277.0,25625.0,26751.0,26088.0,26867.0,29231.0,29626.0
,Goa,2146.0,2338.0,2624.0,2740.0,2801.0,3092.0,3154.0,3024.0,3181.0,3890.0,3969.0,5120.0
,Gujarat,59681.0,57137.0,62464.0,68747.0,67482.0,70369.0,71651.0,74696.0,93662.0,88497.0,96235.0,103544.0
,Haryana,21801.0,23791.0,26249.0,29353.0,29085.0,33441.0,34552.0,36874.0,41407.0,43463.0,46615.0,47506.0
,Himachal Pradesh,4000.0,4302.0,5136.0,5992.0,6260.0,7047.0,7626.0,8161.0,8992.0,9089.0,8807.0,8821.0
,Jammu and Kashmir,8138.0,9268.0,11725.0,11782.0,11467.0,13200.0,13571.0,14250.0,15410.0,15613.0,16214.0,16572.0
,Jharkhand,3630.0,4033.0,4369.0,5139.0,5361.0,5867.0,6195.0,6280.0,7042.0,7143.0,7599.0,7748.0
,Karnataka,35156.0,34601.0,40797.0,40320.0,43168.0,45550.0,50474.0,60830.0,66274.0,64150.0,62643.0,64491.0
,Kerala,12691.0,13674.0,15023.0,15663.0,17645.0,17619.0,18023.0,19890.0,21243.0,21577.0,22459.0,23269.0
,Lakshadweep,-,24.0,25.0,24.0,24.0,24.0,25.0,37.0,36.0,48.0,48.0,48.0
,Madhya Pradesh,34810.0,36846.0,38710.0,41560.0,42054.0,43179.0,48437.0,49785.0,49226.0,49410.0,53374.0,62294.0
,Maharashtra,92715.0,102765.0,110005.0,114885.0,121901.0,124936.0,128296.0,141382.0,123984.0,126288.0,134897.0,141817.0
,Manipur,537.0,510.0,451.0,530.0,556.0,524.0,568.0,544.0,574.0,579.0,705.0,840.0
,Meghalaya,1374.0,1382.0,1368.0,1620.0,1713.0,1550.0,1545.0,1927.0,1828.0,1794.0,1930.0,1833.0
,Mizoram,236.0,230.0,235.0,288.0,330.0,352.0,369.0,397.0,406.0,446.0,455.0,471.0
,Nagaland,330.0,408.0,343.0,377.0,475.0,530.0,583.0,560.0,567.0,577.0,688.0,755.0
,Odisha,13980.0,15208.0,17101.0,18846.0,20519.0,21136.0,22506.0,23036.0,25155.0,24958.0,26482.0,26820.0
,Puducherry,1537.0,1678.0,1808.0,1841.0,2020.0,2119.0,2123.0,2167.0,2331.0,2344.0,2402.0,2431.0
,Punjab,33393.0,35682.0,38641.0,42372.0,41635.0,45731.0,44484.0,45191.0,48724.0,47821.0,48629.0,49692.0
,Rajasthan,29207.0,32052.0,33236.0,36738.0,37797.0,44109.0,45261.0,51474.0,55538.0,58202.0,65717.0,67405.0
,Sikkim,-,212.0,223.0,286.0,343.0,388.0,402.0,390.0,409.0,413.0,399.0,406.0
,Tamil Nadu,47872.0,54194.0,61499.0,65780.0,69668.0,76293.0,80314.0,85685.0,92302.0,93508.0,95758.0,97159.0
,Telangana,.,.,.,.,.,.,.,.,.,.,43337 **,50209 **
,Tripura,700.0,745.0,802.0,777.0,800.0,855.0,882.0,949.0,1108.0,1195.0,1242.0,1202.0
,Uttar Pradesh,52017.0,55682.0,57441.0,62628.0,69207.0,75930.0,76292.0,81339.0,91647.0,94890.0,103179.0,106370.0
,Uttarakhand,4628.0,5155.0,5957.0,7047.0,7841.0,8921.0,9850.0,10513.0,11331.0,11944.0,12445.0,12889.0
,West Bengal,23155.0,24936.0,26538.0,29020.0,31289.0,33750.0,36481.0,38679.0,42143.0,42891.0,47086.0,47118.0
,ALL INDIA,591373.0,631757.0,690587.0,739345.0,777039.0,830594.0,861591.0,937199.0,995557.0,1002257.0,1068923.0,1114235.0
