,States/Union Territories,1951.0,1961.0,1971.0,1981.0,1991.0,2001.0,2011.0,,,,,
,Andaman and Nicobar Islands,30.3,40.07,51.15,63.19,73.02,81.3,86.63,,86.6,86.629,-0.030000000000001137,-0.029000000000010573
,Andhra Pradesh,-,21.19,24.57,35.66,44.08,60.47,67.02,,67.0,67.018,-0.01999999999999602,-0.018000000000000682
,Arunachal Pradesh,-,7.13,11.29,25.55,41.59,54.34,65.39,,65.4,65.385,0.010000000000005116,0.015000000000000568
,Assam,18.53,32.95,33.94,-,52.89,63.25,72.19,,72.2,72.186,0.010000000000005116,0.013999999999995794
,Bihar,13.49,21.95,23.17,32.32,37.49,47.0,61.8,,61.8,61.795,0.0,0.0049999999999954525
,Chandigarh,-,-,70.43,74.8,77.81,81.94,86.05,,86.0,86.05,-0.04999999999999716,-0.04999999999999716
,Chhattisgarh,9.41,18.14,24.08,32.63,42.91,64.66,70.28,,70.3,70.281,0.01999999999999602,0.018999999999991246
,Dadra and Nagar Haveli,-,-,18.13,32.9,40.71,57.63,76.24,,76.2,76.236,-0.03999999999999204,-0.036000000000001364
,Daman and Diu,-,-,-,-,71.2,78.18,87.1,,87.1,87.099,0.0,0.000999999999990564
,Delhi,-,61.95,65.08,71.94,75.29,81.67,86.21,,86.2,86.209,-0.009999999999990905,-0.009000000000000341
,Goa,23.48,35.41,51.96,65.71,75.51,82.01,88.7,,88.7,88.702,0.0,-0.001999999999995339
,Gujarat,21.82,31.47,36.95,44.92,61.29,69.14,78.03,,78.0,78.032,-0.030000000000001137,-0.031999999999996476
,Haryana,-,-,25.71,37.13,55.85,67.91,75.55,,75.6,75.55,0.04999999999999716,0.04999999999999716
,Himachal Pradesh,-,-,-,-,63.86,76.48,82.8,,82.8,82.799,0.0,0.000999999999990564
,Jammu and Kashmir,-,12.95,21.71,30.64,-,55.52,67.16,,67.2,67.164,0.04000000000000625,0.036000000000001364
,Jharkhand,12.93,21.14,23.87,35.03,41.39,53.56,66.41,,66.4,66.409,-0.009999999999990905,-0.009000000000000341
,Karnataka,-,29.8,36.83,46.21,56.04,60.47,75.37,,75.4,75.365,0.030000000000001137,0.0350000000000108
,Kerala,47.18,55.08,69.75,78.85,89.81,90.86,94.0,,97.0,93.996,3.0,3.004000000000005
,Lakshadweep,15.23,27.15,51.76,68.42,81.78,86.66,91.85,,91.8,91.847,-0.04999999999999716,-0.046999999999997044
,Madhya Pradesh,13.16,21.41,27.27,38.63,44.67,63.74,69.32,,69.3,69.319,-0.01999999999999602,-0.019000000000005457
,Maharashtra,27.91,35.08,45.77,57.24,64.87,76.88,82.34,,82.3,82.338,-0.04000000000000625,-0.0379999999999967
,Manipur,12.57,36.04,38.47,49.66,59.89,69.93,89.22,,89.2,89.215,-0.01999999999999602,-0.015000000000000568
,Meghalaya,-,26.92,29.49,42.05,49.1,62.56,74.43,,74.4,74.426,-0.030000000000001137,-0.02599999999999625
,Mizoram,31.14,44.01,53.8,59.88,82.26,88.8,91.33,,91.3,91.332,-0.030000000000001137,-0.031999999999996476
,Nagaland,10.52,21.95,33.78,50.28,61.65,66.59,89.56,,89.6,89.555,0.03999999999999204,0.044999999999987494
,Odisha,15.8,21.66,26.18,33.62,49.09,63.08,72.89,,72.9,72.886,0.010000000000005116,0.014000000000010004
,Puducherry,-,43.65,53.38,65.14,74.74,81.24,85.85,,85.8,85.85,-0.04999999999999716,-0.04999999999999716
,Punjab,-,-,34.12,43.37,58.51,69.65,75.84,,75.8,75.838,-0.04000000000000625,-0.0379999999999967
,Rajasthan,8.5,18.12,22.57,30.11,38.55,60.41,66.11,,66.1,66.107,-0.010000000000005116,-0.007000000000005002
,Sikkim,-,-,17.74,34.05,56.94,68.81,81.42,,81.4,81.424,-0.01999999999999602,-0.02400000000000091
,Tamil Nadu,-,36.39,45.4,54.39,62.66,73.45,80.09,,80.1,80.091,0.009999999999990905,0.009000000000000341
,Tripura,-,20.24,30.98,50.1,60.44,73.19,87.22,,87.2,87.216,-0.01999999999999602,-0.015999999999991132
,Uttar Pradesh,12.02,20.87,23.99,32.65,40.71,56.27,67.68,,67.7,67.682,0.01999999999999602,0.018000000000000682
,Uttarakhand,18.93,18.05,33.26,46.06,57.75,71.62,78.82,,78.8,78.815,-0.01999999999999602,-0.015000000000000568
,West Bengal,24.61,34.46,38.86,48.65,57.7,68.64,76.26,,76.3,76.261,0.03999999999999204,0.03900000000000148
,ALL INDIA,18.33,28.3,34.45,43.57,52.21,64.84,72.986,,73.0,72.986,0.013999999999995794,0.013999999999995794
